Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:13,24-05-2024 08:56:14,0.732s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:56:14,24-05-2024 08:56:17,3.012s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:56:17,24-05-2024 08:56:18,1.773s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:56:18,24-05-2024 08:56:19,0.519s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:56:19,24-05-2024 08:56:34,15.420s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:56:19,24-05-2024 08:56:20,0.927s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:56:20,24-05-2024 08:56:23,3.168s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:56:23,24-05-2024 08:56:23,0.211s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:56:23,24-05-2024 08:56:24,0.918s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:56:24,24-05-2024 08:56:25,1.212s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:25,24-05-2024 08:56:26,0.622s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:56:26,24-05-2024 08:56:27,1.136s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:56:27,24-05-2024 08:56:28,1.217s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:28,24-05-2024 08:56:29,0.634s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:56:29,24-05-2024 08:56:32,3.009s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:56:32,24-05-2024 08:56:34,2.289s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:56:34,24-05-2024 08:56:51,16.195s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:56:34,24-05-2024 08:56:36,1.310s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:56:36,24-05-2024 08:56:39,3.324s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:56:39,24-05-2024 08:56:39,0.268s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:56:39,24-05-2024 08:56:40,0.705s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:56:40,24-05-2024 08:56:41,0.976s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:41,24-05-2024 08:56:42,0.826s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:56:42,24-05-2024 08:56:43,1.369s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:56:43,24-05-2024 08:56:44,1.073s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:44,24-05-2024 08:56:45,0.795s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:56:45,24-05-2024 08:56:48,3.012s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:56:48,24-05-2024 08:56:51,2.507s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:56:51,24-05-2024 08:57:07,15.927s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:56:51,24-05-2024 08:56:52,1.509s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:56:52,24-05-2024 08:56:56,3.361s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:56:56,24-05-2024 08:56:56,0.148s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:56:56,24-05-2024 08:56:57,0.880s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:56:57,24-05-2024 08:56:58,1.072s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:56:58,24-05-2024 08:56:58,0.741s,PASSED
