Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:56:03,06-06-2024 13:56:03,0.463s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:56:03,06-06-2024 13:56:04,0.564s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:56:04,06-06-2024 13:56:05,1.253s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:56:05,06-06-2024 13:56:06,0.718s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:56:06,06-06-2024 13:56:07,1.300s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:56:07,06-06-2024 13:56:08,0.696s,PASSED
"setText(findTestObject(""Page_Register/input_fullname""), fullname)",Chrome 114.0.0.0,,,06-06-2024 13:56:08,06-06-2024 13:56:09,0.888s,PASSED
"click(findTestObject(""Page_Register/input_genderNu""))",Chrome 114.0.0.0,,,06-06-2024 13:56:09,06-06-2024 13:56:09,0.332s,PASSED
"selectOptionByValue(findTestObject(""Page_Register/select_Ngay                                                                                                    1                                                                                                    2""), day, false)",Chrome 114.0.0.0,,,06-06-2024 13:56:09,06-06-2024 13:56:09,0.289s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:56:09,06-06-2024 13:56:18,9.005s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:56:09,06-06-2024 13:56:10,0.855s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:56:10,06-06-2024 13:56:13,2.394s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:56:13,06-06-2024 13:56:13,0.259s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:56:13,06-06-2024 13:56:14,0.934s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:56:14,06-06-2024 13:56:14,0.509s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:56:14,06-06-2024 13:56:15,0.576s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:56:15,06-06-2024 13:56:16,1.293s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:56:16,06-06-2024 13:56:17,0.593s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:56:17,06-06-2024 13:56:18,1.314s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:56:18,06-06-2024 13:56:18,0.263s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:56:18,06-06-2024 13:56:27,9.034s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:56:18,06-06-2024 13:56:19,0.853s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:56:19,06-06-2024 13:56:22,2.369s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:56:22,06-06-2024 13:56:22,0.231s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:56:22,06-06-2024 13:56:23,0.954s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:56:23,06-06-2024 13:56:23,0.487s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:56:23,06-06-2024 13:56:24,0.563s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:56:24,06-06-2024 13:56:25,1.236s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:56:25,06-06-2024 13:56:26,0.717s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:56:26,06-06-2024 13:56:27,1.331s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:56:27,06-06-2024 13:56:27,0.269s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:56:28,06-06-2024 13:56:37,9.741s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:56:28,06-06-2024 13:56:28,0.894s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:56:28,06-06-2024 13:56:31,2.596s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:56:31,06-06-2024 13:56:31,0.367s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:56:31,06-06-2024 13:56:32,0.576s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:56:32,06-06-2024 13:56:32,0.439s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:56:32,06-06-2024 13:56:33,0.550s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:56:33,06-06-2024 13:56:34,1.364s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:56:34,06-06-2024 13:56:35,0.707s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:56:35,06-06-2024 13:56:37,1.912s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:56:37,06-06-2024 13:56:37,0.309s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:56:37,06-06-2024 13:56:46,8.917s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:56:37,06-06-2024 13:56:38,0.876s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:56:38,06-06-2024 13:56:41,2.601s,PASSED
